ID_Poste,IdOwner,Titre,Description,DatePoste,Montant,Secteur,Status,Image,EtapeDev,NumLikes
355,IDO1,Innovation dans le domaine de la sante numerique,Notre startup developpe des solutions de sante numerique innovantes pour ameliorer l acces aux soins de sante et optimiser la gestion des donnees medicales,2023-08-07T03:05:08,500000,Sante,0,oVsxJHeimoQitWPwfLEVVkjcMRalCF,Developpement,47
369,IDO2,Technologie de detection des fuites d eau pour une gestion efficiente des ressources,Nous utilisons des technologies avancees de detection des fuites d eau pour prevenir les pertes et promouvoir une gestion plus efficiente des ressources hydriques,2020-02-07T05:43:45,500000,energie ,0,gBAhRfriBuzFqIUSRRsLrvJIKbTeTM,Developpement,11
24,IDO2,Innovation dans les solutions de stockage d energie e base de batteries,Nous developpons des solutions de stockage d energie e base de batteries avancees pour repondre e la demande croissante en energie renouvelable et soutenir la transition vers un reseau electrique decarbone ,2022-04-27T14:36:19,800000,energie,0,nLKJjlzgjJMaXdHhmjOKZkVJaORUYi,Production,63
432,IDO3,Plateforme de financement participatif pour les projets artistiques et culturels,Rejoignez notre plateforme de financement participatif dediee e soutenir les projets artistiques et culturels tels que les films independants les expositions d art et les festivals de musique offrant aux createurs une alternative de financement accessible et transparente ,2020-02-11T01:48:30,500000,Finance,0,vBxqoOAojcIvHsXroUROukNiCbbPtb,Developpement,75
744,IDO4,Intelligence artificielle pour la gestion de l energie,Nous developpons des solutions basees sur l intelligence artificielle pour optimiser la gestion de l energie et favoriser la transition vers un avenir energetique durable ,2020-05-04T18:10:13,700000,energie,0,cFUUMHJRFwnMPLAaqhABXKIpjDHYtr,Developpement,98
307,IDO5,Innovation dans les vehicules electriques autonomes pour une mobilite durable,Nous developpons des vehicules electriques autonomes intelligents pour offrir une mobilite durable et efficiente dans les villes et au-dele ,2021-12-26T16:23:36,700000,Industrie,0,vvHwVHtpZTsfOoxVJibtFtVxFSsqhv,Production,47
448,IDO1,Innovation dans les materiaux de construction ecologiques et recyclables,Nous developpons des materiaux de construction ecologiques et recyclables qui reduisent l empreinte carbone des projets de construction et contribuent e la durabilite du secteur de la construction ,2023-03-26T13:27:36,900000,Biotechnologie ,0,xyGKKcfZmUyOvTRgxpIwchwkJkHnFd,Developpement,22
931,IDO6,Plateforme de crowdfunding pour les projets artistiques et culturels,Rejoignez notre plateforme de crowdfunding dediee e soutenir les projets artistiques et culturels  permettant aux artistes et aux createurs de concretiser leurs idees creatives ,2023-07-12T03:06:24,300000,Technologie,0,BXcJtPzcbFuBkncNXichLoYYViqGDf,Production,1
737,IDO7,Revolution dans la production alimentaire avec la biotechnologie cellulaire,Rejoignez notre startup pour revolutionner la production alimentaire en utilisant la biotechnologie cellulaire pour cultiver de la viande et d autres produits alimentaires sans elevage animal ,2022-08-28T04:52:05,600000,Biotechnologie,0,vontnTiAaPExmWPWRUjaQEthifVswr,Developpement,63
236,IDO7,Technologie de surveillance de la qualite de l air pour les villes intelligentes,Notre startup propose une technologie de surveillance de la qualite de l air basee sur des capteurs IoT pour aider les villes e surveiller et e gerer la pollution atmospherique ameliorant ainsi la sante et le bien-etre des habitants ,2020-06-13T05:49:31,400000,Biotechnologie,0,BWDlahayDuURUgIptSSoFqZURpgJsc,Concept,72
