ID_User,ID_Poste,Titre,Secteur
IDO14,355,Innovation dans le domaine de la sante numerique,Sante
IDO8,369,Technologie de detection des fuites d eau pour une gestion efficiente des ressources,energie 
IDO8,24,Innovation dans les solutions de stockage d energie e base de batteries,energie
IDO4,432,Plateforme de financement participatif pour les projets artistiques et culturels,Finance
IDO12,744,Intelligence artificielle pour la gestion de l energie,energie
IDO9,307,Innovation dans les vehicules electriques autonomes pour une mobilite durable,Industrie
IDO2,448,Innovation dans les materiaux de construction ecologiques et recyclables,Biotechnologie 
IDO18,931,Plateforme de crowdfunding pour les projets artistiques et culturels,Technologie
IDO2,737,Revolution dans la production alimentaire avec la biotechnologie cellulaire,Biotechnologie
IDO2,236,Technologie de surveillance de la qualite de l air pour les villes intelligentes,Biotechnologie
IDO14,771,Technologie de surveillance de la qualite de l air pour les villes intelligentes,Sante
IDO14,441,Plateforme de sante mentale en ligne pour le bien-etre emotionnel,Sante
IDO4,44,Technologie blockchain pour la finance decentralisee,Finance
IDO14,797,Technologie de purification de l air pour des environnements interieurs sains,Sante
IDO11,599,Technologie de bioimpression 3D pour la medecine regenerative,Sante
IDO30,871,Plateforme de covoiturage electrique pour des deplacements urbains ecologiques,Sante
IDO1,256,Plateforme de partage de competences pour l economie du partage,Biotechnologie
IDO1,590,Plateforme de crowdfunding pour les projets artistiques et culturels,Biotechnologie
IDO4,583,Plateforme de commerce electronique equitable pour les artisans locaux,Finance
IDO4,890,Technologie blockchain pour la finance decentralisee,Finance 
IDO18,104,Plateforme de partage de repas pour lutter contre le gaspillage alimentaire,Technologie
IDO14,911,Plateforme de pret entre pairs pour le financement de projets durables,Immobilier
IDO8,504,Developpement de la prochaine generation de batteries ecologiques,energie 
IDO9,798,Innovation dans le domaine de la sante numerique,Industrie
IDO1,450,Developpement de la prochaine generation de batteries ecologiques,Biotechnologie
IDO5,987,Innovation dans les materiaux de construction ecologiques et recyclables,Biotechnologie
IDO30,198,Technologie de traitement des dechets plastiques pour une economie circulaire,Sante
IDO18,949,Reinvention de l education avec des technologies d apprentissage immersif,Technologie
IDO31,532,Innovation dans les materiaux de construction ecologiques et recyclables,Finance
IDO6,679,Technologie de realite augmentee pour l apprentissage interactif,Technologie
IDO16,351,Innovation dans les materiaux d emballage biodegradables,Immobilier
IDO16,516,Technologie de reconnaissance faciale pour la securite et la confidentialite,Immobilier
IDO16,624,Reinvention de l education avec des technologies d apprentissage immersif,Immobilier
IDO9,392,Plateforme d analyse de donnees pour l optimisation des processus industriels,Industrie
IDO30,709,Plateforme de sante mentale en ligne pour le bien-etre emotionnel,Sante
IDO30,83,Plateforme d analyse de donnees pour l optimisation des processus industriels,Industrie
IDO6,43,Technologie de detection des fuites d eau pour une gestion efficiente des ressources,Technologie
IDO31,974,Plateforme de financement participatif pour les initiatives sociales et solidaires,Finance
IDO11,559,Innovation dans les energies marines renouvelables,energie 
IDO13,246,Innovation dans les drones agricoles pour l agriculture de precision,Immobilier
IDO13,530,Plateforme de location de vetements pour une mode durable,Immobilier
IDO18,604,Technologie de surveillance de la qualite de l air pour les villes intelligentes, Technologie
IDO32,742,Innovation dans les technologies de desalinisation pour l acces e l eau potable,Sante
